DateTime,MapCode,TotalLoadValue
2026-01-24 06:30:00,IE,3729.59
2026-01-24 07:00:00,IE,3800.48
2026-01-24 07:30:00,IE,3916.885
2026-01-24 08:00:00,IE,3990.331
2026-01-24 08:30:00,IE,4141.017
2026-01-24 09:00:00,IE,4279.954
2026-01-24 09:30:00,IE,4474.489
2026-01-24 10:00:00,IE,4601.419
2026-01-24 10:30:00,IE,4664.706
2026-01-24 11:00:00,IE,4694.876
2026-01-24 11:30:00,IE,4714.76
2026-01-24 12:00:00,IE,4735.958
2026-01-24 12:30:00,IE,4783.409
2026-01-24 13:00:00,IE,4780.678
2026-01-24 13:30:00,IE,4755.6
2026-01-24 14:00:00,IE,4721.676
2026-01-24 14:30:00,IE,4693.582
2026-01-24 15:00:00,IE,4694.86
2026-01-24 15:30:00,IE,4725.688
2026-01-24 16:00:00,IE,4770.339
2026-01-24 16:30:00,IE,4857.941
2026-01-24 17:00:00,IE,5011.384
2026-01-24 17:30:00,IE,5135.906
2026-01-24 18:00:00,IE,5143.861
2026-01-24 18:30:00,IE,5092.258
2026-01-24 19:00:00,IE,4958.899
2026-01-24 19:30:00,IE,4858.078
2026-01-24 20:00:00,IE,4749.43
2026-01-24 20:30:00,IE,4612.664
2026-01-24 21:00:00,IE,4524.704
2026-01-24 21:30:00,IE,4403.566
2026-01-24 22:00:00,IE,4303.289
2026-01-24 22:30:00,IE,4152.559
2026-01-24 23:00:00,IE,4050.774
2026-01-24 23:30:00,IE,4118.17
2026-01-25 00:00:00,IE,4027.711
2026-01-25 00:30:00,IE,3946.308
2026-01-25 01:00:00,IE,3852.532
2026-01-25 01:30:00,IE,3776.877
2026-01-25 02:00:00,IE,3709.377
2026-01-25 02:30:00,IE,3772.016
2026-01-25 03:00:00,IE,3707.533
2026-01-25 03:30:00,IE,3656.742
2026-01-25 04:00:00,IE,3618.151
2026-01-25 04:30:00,IE,3540.735
2026-01-25 05:00:00,IE,3516.781
2026-01-25 05:30:00,IE,3517.22
2026-01-25 06:00:00,IE,3536.015
